loss|Validation_loss|score|Validation_score|Old_Complexity|New_Complexity|Old_equation|New_equation
0.18963765|0.087350875|0.0|0.0|1|1|-0.23501049|-0.235010490000000
0.14273293|0.037488244|0.09471329478518625|0.28196855386098224|4|6|(0.3355407 - inv(x))|0.3355407 - 1/x
0.13830498|0.04153163|0.03151401500193037|-0.10242792963981628|5|5|(-0.9510156 + (x * 0.3745666))|0.3745666*x - 0.9510156
0.13414444|0.14504728|0.015272058414432528|-0.6253021955490112|7|10|(pow4(inv(pow4(x))) - inv(x))|(1 - x**15)/x**16
0.044945143|0.017752083|1.0934744281835578|2.1005568504333496|8|10|(pow4(inv(pow4(x))) - inv(pow3(x)))|(1 - x**13)/x**16
0.035759233|0.015366767|0.22863420015735358|0.14429567754268646|9|10|(pow3(pow3(pow2(inv(x)))) - inv(pow3(x)))|(1 - x**15)/x**18
0.0062133814|0.003170206|1.7501032449185143|1.5784106254577637|10|11|((pow4(pow4(inv(x))) - inv(pow4(x))) * 1.9393976)|1.9393976*(1 - x**12)/x**16
0.0019196419|0.00054268574|1.1745665983831217|1.765021562576294|11|11|((pow4(pow3(inv(x))) - inv(pow2(pow3(x)))) * 4.030358)|4.030358*(1 - x**6)/x**12
0.0018589639|0.0006003526|0.016059684359766943|-0.05049336701631546|13|14|((pow4(inv(pow3(x) + 0.0016597142)) - inv(pow3(pow2(x)))) * 4.045447)|4.045447/(x**3 + 0.0016597142)**4 - 4.045447/x**6
0.0017426037|0.00068906083|0.06463891543137558|-0.13781245052814484|14|11|((pow4(pow3(inv(x))) - inv(pow2(pow3(x)))) * (4.930317 - inv(x)))|-(4.930317*x - 1)*(x**6 - 1)/x**13
0.0015921514|0.0005858131|0.0902941906739457|0.1623288244009018|15|11|((((pow4(pow3(inv(x))) * x) - inv(pow2(pow3(x)))) * 4.7103753) - -0.019184817)|0.019184817 - 4.7103753/x**6 + 4.7103753/x**11
0.0015634723|0.0009794107|0.009088501152728643|-0.2569751739501953|17|12|((pow4(pow2(inv(pow3(x)))) - inv(pow3(pow2(x)))) * ((inv(x) * -8.209006) + 9.606502))|-(9.606502*x - 8.209006)*(x**18 - 1)/x**25
0.0014194155|0.00061837106|0.09666401394127129|0.4598623812198639|18|19|((pow4(inv(pow3(x))) - inv(pow3(pow2(x)))) * (4.0182676 - pow4(pow4(inv(x)) - 0.62308633)))|(x**6 - 1)*(-4.0182676*x**16 + (0.62308633*x**4 - 1)**4)/x**28
0.0007907431|0.0003399888|0.5850273098837981|0.5981760025024414|19|18|(inv(pow4(pow4(x))) - inv(pow2((pow4(x) + pow3(inv(pow3(pow4(x))))) * 0.30607116) + 0.62308633))|-1/(0.0936795549837456*(x**4 + x**(-36))**2 + 0.62308633) + x**(-16)
0.0006619625|0.0003398614|0.08888211422384727|0.00018737249774858356|21|20|(inv(pow4(pow4(x))) - inv(pow2((pow4(x) + (inv(pow4(pow4(pow3(x)))) * 0.7435166)) * 0.30447322) + 0.6366521))|-1/(0.0927039416971684*(x**4 + 0.7435166/x**48)**2 + 0.6366521) + x**(-16)
0.0006272498|0.00034084573|0.02693202070625246|-0.0014460019301623106|23|26|(inv(pow4(pow4(x))) - inv(pow2((pow4(x) + (pow3(inv(pow4(pow4(x)))) - inv(pow4(x)))) * 0.30903533) + 0.7873059))|(-x**112 + 0.7873059*x**96 + 0.0955028351882089*(x**52 - x**44 + 1)**2)/(x**16*(0.7873059*x**96 + 0.0955028351882089*(x**52 - x**44 + 1)**2))
0.00062322395|0.0003199923|0.0032194709479451554|0.03156651556491852|25|23|(inv(pow4(pow4(x))) - inv(pow2((pow4(x) + (inv((pow2(pow4(pow4(x))) + 0.015542547) - 0.15072764) * 0.7102177)) * 0.30607116) + 0.62308633))|-1/(0.0936795549837456*(x**4 + 0.7102177/(x**32 - 0.135185093))**2 + 0.62308633) + x**(-16)
